order_id,order_date,region,sales_rep,customer_segment,product_category,product_name,units,unit_price,discount_pct,revenue,returned
ORD-000001,2025-01-01,West,T. Brooks,SMB,Software,SecureGuard License,1,385.68,0.08,354.83,No
ORD-000002,2025-01-01,North,A. Chen,SMB,Accessories,Wireless Mouse,5,40.99,0.001,204.75,No
ORD-000003,2025-01-01,East,L. Nguyen,Enterprise,Software,SecureGuard License,1,248.45,0.22,193.79,No
ORD-000004,2025-01-01,West,T. Brooks,Mid-Market,Accessories,USB-C Hub,4,55.7,0.048,212.11,No
ORD-000005,2025-01-01,West,D. Rossi,Mid-Market,Services,Priority Support,2,828.38,0.036,1597.12,No
ORD-000006,2025-01-01,North,R. Diaz,Mid-Market,Software,SecureGuard License,1,525.64,0.142,451.0,No
ORD-000007,2025-01-01,East,J. Kim,Mid-Market,Hardware,Nimbus Monitor,1,2314.49,0.096,2092.3,No
ORD-000008,2025-01-01,South,M. Okafor,Enterprise,Software,DataLens License,2,480.64,0.006,955.51,No
ORD-000009,2025-01-01,North,R. Diaz,SMB,Services,Onboarding Package,2,1008.35,0.055,1905.78,No
ORD-000010,2025-01-02,West,T. Brooks,SMB,Services,Onboarding Package,1,976.45,0.076,902.24,No
ORD-000011,2025-01-02,West,D. Rossi,Mid-Market,Accessories,USB-C Hub,2,101.51,0.121,178.45,No
ORD-000012,2025-01-02,North,A. Chen,Mid-Market,Software,FlowSuite License,2,502.62,0.019,986.14,No
ORD-000013,2025-01-02,West,T. Brooks,Mid-Market,Accessories,Wireless Mouse,1,99.17,0.144,84.89,No
ORD-000014,2025-01-02,North,A. Chen,Mid-Market,Accessories,Wireless Mouse,2,47.61,0.141,81.79,No
ORD-000015,2025-01-02,East,J. Kim,Mid-Market,Services,Custom Training,2,1407.31,0.01,2786.47,No
ORD-000016,2025-01-02,East,L. Nguyen,Mid-Market,Services,Custom Training,1,374.24,0.062,351.04,No
ORD-000017,2025-01-02,South,M. Okafor,SMB,Hardware,Falcon Laptop,2,1866.05,0.038,3590.28,No
ORD-000018,2025-01-02,West,T. Brooks,SMB,Hardware,Nimbus Monitor,2,1444.11,0.022,2824.68,No
ORD-000019,2025-01-02,West,D. Rossi,SMB,Accessories,Laptop Sleeve,2,80.99,0.063,151.78,No
ORD-000020,2025-01-02,West,D. Rossi,Enterprise,Hardware,Nimbus Monitor,3,948.46,0.005,2831.15,No
ORD-000021,2025-01-03,North,R. Diaz,SMB,Accessories,Laptop Sleeve,7,56.48,0.051,375.2,No
ORD-000022,2025-01-03,West,T. Brooks,SMB,Accessories,Wireless Mouse,1,103.65,0.043,99.19,No
ORD-000023,2025-01-03,East,J. Kim,Enterprise,Accessories,Wireless Mouse,2,69.47,0.189,112.68,No
ORD-000024,2025-01-03,East,L. Nguyen,Mid-Market,Software,DataLens License,2,378.97,0.032,733.69,No
ORD-000025,2025-01-03,South,S. Patel,Mid-Market,Hardware,Titan Desktop,1,2121.09,0.02,2078.67,No
ORD-000026,2025-01-03,North,A. Chen,SMB,Services,Custom Training,2,821.78,0.071,1526.87,No
ORD-000027,2025-01-04,West,D. Rossi,Mid-Market,Accessories,USB-C Hub,6,93.15,0.057,527.04,No
ORD-000028,2025-01-04,North,R. Diaz,SMB,Accessories,Wireless Mouse,2,107.26,0.016,211.09,No
ORD-000029,2025-01-04,North,R. Diaz,Mid-Market,Hardware,Titan Desktop,2,2069.36,0.013,4084.92,No
ORD-000030,2025-01-04,West,D. Rossi,Enterprise,Software,FlowSuite License,1,220.34,0.138,189.93,No
